content,score,at,sentiment
عند تفعيل التطبيق يقول تم ارسال الرمز وهو لم يرسل,1,2025-06-26 17:15:24,Negative
تطبيق اكثر من رااااااااائع ، السيارات كلها مبرده وحديثه,5,2025-06-22 15:31:29,Positive
اسعاركم مبالغ فيها,1,2025-06-20 21:20:09,Negative
ارقى برنامج🌼,5,2025-06-19 07:16:58,Positive
شكرا من كل قلبي,5,2025-06-18 14:37:05,Positive
تحت التجربة,5,2025-06-12 19:20:15,Positive
يظهر اتصال vpn واني ما مشغل كل شي وبكل الاجهزة نفس الشي,1,2025-06-10 16:33:41,Negative
جيدا جدا,5,2025-06-10 10:42:35,Positive
كذابين,1,2025-06-09 18:38:49,Negative
رائع جدآ,5,2025-06-09 18:20:25,Positive
يرجى توفير سواق اكثر كل ما اطلب يقلي لا يتوفر سائقون متاحون,2,2025-06-08 07:19:24,Negative
زين,3,2025-06-06 10:01:42,Neutral
رائع جدا🌹🌹🌹,5,2025-06-04 19:38:15,Positive
اولا-التطبيق خارطته مخربطة هوة يشتغل بس بتكريت ومطلعلي خارطة العالم كله ثانيا-يتأخر لما يلگة سايق تكسي ثالثا-الاسعار بي غالية التكسي العادي ارخص واسرع انو تلگا يعني مثلا من ناحية السعر اني ابعد عن هايبر ماركت چكليتة 3شوارع واروح وارجع بألفين دينار هوة يگلي ب4 وب5الاف دينار شهل تقفيص؟ اذا ماشفتو حل للتطبيق راح يخسر صيرو مثل بلي وكريم اسعارهم مناسبة ورخيصة عن نفسي مليت منه,1,2025-06-04 02:32:20,Negative
خدمه ممتازه سرعه الطلب تكسي مبرده وسعر الاجور معقولة,5,2025-06-03 06:02:22,Positive
جيد و مفيد للعجزه و حلو,5,2025-05-31 13:55:05,Positive
عاشت ايدكم تطبيق كلش راقي وزين,5,2025-05-31 10:19:27,Positive
برنامج رهيب,5,2025-05-27 18:26:46,Positive
خدمات جديدة جداً,5,2025-05-25 07:12:59,Positive
توب,5,2025-05-23 01:15:13,Positive
جيد جدا خدمه طيبه,5,2025-05-20 19:01:58,Positive
كتجربه جيده,5,2025-05-20 17:23:24,Positive
ماشاء الله تطبيق جداً جداً مميز وسائق محترم ويصلك عل وقت المحدد,5,2025-05-13 22:21:03,Positive
تطبيق جيد ... لدي مقترح إضافة شعار التطبيق بشكل واضح على السيارة حتى تكون مميزة وظاهرة للزبون,5,2025-05-13 20:28:37,Positive
روعة,5,2025-05-08 15:21:20,Positive
خدمه ممتازة,5,2025-05-08 09:10:51,Positive
بارك الله فيكم خوش تطبيق و اسعاركم مناسبة,1,2025-05-07 08:56:53,Negative
تطبيق كلش حلو ومفيد,5,2025-05-05 08:39:23,Positive
تطبيق جيد ومريح,4,2025-04-23 18:11:50,Positive
عمي .... سووا اعلان ممول ... مقطع باليوتيوب الناس محد يعرف بهالتطبيق وماشاالله خدمة كلش حلوة هسة اريد انشرلكم .... ما اعرف شأدز لجماعتي عالاقل اعلان مقطع فيديو عاليوتيوب يعني ... المراجعاات عالتطبيق فقط 115 مراجعة بضمنهن مراجعاتكم,5,2025-04-15 06:16:13,Positive
تطبيق جيد جدا سريع توصيل,5,2025-04-08 14:26:09,Positive
سائق يتاخر حيل اني بل اربعين هو بل قادسيه يكول يتاخر عما ايوصل زبون يجي ادري عندك ناس اتوصلهم عليش تقبل اكثر من طلب,1,2025-04-03 20:41:40,Negative
شكرآ لكم تطبيق راقي في سامراء شكرآ لكم,5,2025-04-01 10:02:55,Positive
خطوه كلش حلوه,5,2025-03-26 02:38:21,Positive
من افضل البرامج في العراق حرفيا حملوه وصدكوني مراح تندمون🤍🤍🤍,5,2025-03-10 17:41:25,Positive
شكرا لاختياركم هذا السائق,5,2025-03-09 21:45:17,Positive
الاجره رجعوها مثل قبل للفرد الواحد 2000 اذا ضلت غاليه الاجره راح يفشل وتذكرو كلامي,5,2025-03-08 19:14:31,Positive
تجربه جميله في تكريت,5,2025-03-03 08:30:12,Positive
الصراحة برنامج رائع والسايق محترم جدا وسيارتة جدا مريحة شكرا لكم من القلب واسال الله ان يوفقكم .,5,2025-02-23 04:58:42,Positive
شكرا لكم,1,2025-02-04 22:00:41,Negative
استخدمته اليوم وكانت الطريقة سلسة وتم وصول السائق بالوقت المناسب ..خدمة ممتازة,5,2025-02-04 21:05:25,Positive
الأفضل أضافة اقسام لكل مدينة مع أضافة قائمة بأسم ومعلومات السائقين ورقم هاتف ورقم السيارة المتوفرين في المدينة ويكون الشخص هو يختار السائق يلي يطلبة بنفسه، بهاي الطريقة المواطن مراح يتردد بالطلب لان أمان اكثر,3,2025-02-04 15:15:24,Neutral
التطبيق صار ساعات احاول اسجل دخول بي ما يسجل ، ايكلي رح نرسل رمز التحقق على رقمك وكلشي ميوصل وجربت كل المحاولات وأكثر من مرة وساعات وهم ما شتغل,2,2025-02-03 11:41:28,Negative
سلام عليكم يرجى تعديل الخيارات مثل باقي تطبيقات التكسي خياراتكم مو واضحه ومو مفهومه ابد الانطلاق والوصول يرجى تعديله,5,2025-02-01 18:57:46,Positive
برنامج سيئ جدا اذا مو نت ماتكدر تطلب فا صيرو نفس غير محافضات غالين حيل انتو🙋🏻1/10,1,2025-01-25 11:36:01,Negative
الف مبرووووووك واخيرا صار عدنا تطبيق تكسي بصلاح الدين بالتوفيق الكم,5,2024-12-06 22:38:30,Positive
